capacity,DP_time_ms,Greedy_time_ms,BruteForce_time_ms
20,0.008667,0.002333,100.132000
40,0.021333,0.002667,99.878000
60,0.022667,0.002333,100.211000
80,0.031667,0.002333,99.958000
100,0.039000,0.003000,96.444000
120,0.046000,0.002333,95.710000
140,0.052333,0.002333,96.929000
160,0.056333,0.002667,95.583000
180,0.067000,0.002667,98.514000
200,0.072000,0.002667,99.881000
220,0.076667,0.003000,100.587000
240,0.083000,0.002667,99.746000
260,0.086333,0.003000,100.176000
280,0.098000,0.002667,100.514000
300,0.101333,0.003000,100.386000
320,0.109333,0.002667,100.480000
340,0.119000,0.002667,100.541000
360,0.121000,0.003000,100.274000
380,0.129000,0.003667,100.540000
400,0.135333,0.002667,100.472000
420,0.137667,0.003000,100.762000
440,0.141000,0.003000,100.453000
460,0.166333,0.003000,100.489000
480,0.152667,0.017333,100.522000
500,0.197000,0.002667,100.419000
520,0.169333,0.003000,100.469000
540,0.168667,0.002667,100.637000
560,0.179333,0.003000,100.694000
580,0.185667,0.002667,100.994000
600,0.183333,0.002667,100.886000
620,0.195000,0.003000,100.643000
640,0.194000,0.002667,100.449000
660,0.207000,0.002667,100.508000
680,0.213000,0.002667,100.576000
700,0.212333,0.003000,104.622000
720,0.225333,0.003667,100.700000
740,0.232000,0.002667,100.584000
760,0.229667,0.003000,100.745000
780,0.243000,0.002667,100.735000
800,0.244333,0.003000,100.433000
820,0.254667,0.003000,100.467000
840,0.261333,0.003333,100.592000
860,0.264000,0.002667,100.541000
880,0.270667,0.003333,100.697000
900,0.279667,0.002667,99.609000
920,0.272667,0.003000,100.987000
940,0.288000,0.002667,100.558000
960,0.290333,0.003667,100.561000
980,0.300333,0.002667,100.836000
1000,0.311667,0.002667,100.554000
1020,0.305333,0.003000,100.903000
1040,0.322333,0.002667,100.699000
1060,0.346667,0.003000,100.586000
1080,0.322667,0.002667,100.644000
1100,0.341667,0.002667,106.057000
1120,0.333333,0.003000,111.455000
1140,0.460000,0.006000,103.445000
1160,0.365333,0.003333,101.253000
1180,0.369000,0.003000,101.300000
1200,0.381333,0.003333,101.042000
1220,0.374000,0.003333,104.098000
1240,0.370333,0.002667,101.899000
1260,0.376667,0.003000,100.709000
1280,0.382667,0.003333,100.595000
1300,0.399667,0.002667,100.681000
1320,0.394333,0.002667,100.689000
1340,0.398667,0.002667,103.055000
1360,0.471333,0.005667,102.200000
1380,0.420667,0.003333,102.125000
1400,0.414333,0.002667,100.840000
1420,0.443667,0.003000,100.730000
1440,0.431333,0.002667,163.075000
1460,0.498333,0.006333,104.622000
1480,0.487333,0.005667,104.009000
1500,0.468000,0.003333,103.248000
1520,0.498667,0.003333,101.777000
1540,0.466667,0.002667,101.766000
1560,0.498333,0.003333,102.040000
1580,0.524000,0.008000,102.050000
1600,0.488000,0.004000,101.486000
1620,0.488667,0.002667,101.502000
1640,0.508000,0.004000,102.270000
1660,0.493667,0.002667,101.643000
1680,0.534333,0.005667,144.460000
1700,0.505333,0.003000,103.984000
1720,0.855000,0.003333,101.443000
1740,0.528333,0.003333,101.852000
1760,0.537000,0.003667,101.036000
1780,0.531667,0.003000,101.365000
1800,0.609000,0.002667,100.959000
1820,0.551333,0.003000,101.420000
1840,0.558000,0.003667,101.221000
1860,0.558333,0.003667,101.476000
1880,0.557000,0.002667,101.080000
1900,0.576333,0.003333,101.178000
1920,0.569333,0.002667,101.044000
1940,0.595000,0.003000,100.879000
1960,0.581333,0.003000,100.639000
1980,0.586667,0.002667,101.093000
2000,0.632667,0.004333,100.972000
