n,DP_time_ms,Greedy_time_ms,BruteForce_time_ms
2,0.006333,0.000333,0.000000
4,0.009333,0.000333,0.005000
6,0.018000,0.000333,0.005000
8,0.017000,0.001333,0.016000
10,0.020333,0.001333,0.067000
12,0.022667,0.001333,0.285000
14,0.026000,0.001333,1.241000
16,0.036333,0.002333,5.359000
18,0.033667,0.002333,23.261000
20,0.044333,0.002667,97.130000
22,0.041667,0.003000,421.804000
24,0.043000,0.003000,1804.598000
26,0.050333,0.003333,7583.297000
28,0.054667,0.004333,31483.576000
30,0.057000,0.003667,TIMEOUT
32,0.058000,0.004000,0.000000
34,0.062000,0.004333,0.002000
36,0.064333,0.004667,0.007000
38,0.068667,0.004667,0.014000
40,0.076667,0.005333,0.048000
42,0.127000,0.005333,0.175000
44,0.079667,0.005667,0.908000
46,0.095667,0.005667,3.093000
48,0.119000,0.006667,12.920000
50,0.096667,0.006667,53.899000
52,0.099000,0.007667,223.444000
54,0.100667,0.007333,929.413000
56,0.106000,0.007667,3871.744000
58,0.128000,0.008333,15871.462000
60,0.129667,0.007667,TIMEOUT
62,0.121667,0.009000,TIMEOUT
64,0.110000,0.009000,0.000000
66,0.108000,0.008333,0.004000
68,0.111667,0.009667,0.013000
70,0.113333,0.009667,0.025000
72,0.116000,0.009667,0.068000
74,0.128667,0.011333,0.277000
76,0.123000,0.010333,1.114000
78,0.137333,0.010333,4.628000
80,0.142333,0.011000,19.119000
82,0.148333,0.011667,78.850000
84,0.152000,0.011667,326.075000
86,0.171000,0.012000,1393.357000
88,0.165000,0.011667,5755.213000
90,0.159667,0.012667,23502.805000
92,0.168333,0.015333,TIMEOUT
94,0.165333,0.012667,TIMEOUT
96,0.169000,0.013000,0.000000
98,0.197333,0.013667,0.005000
100,0.281000,0.022333,0.008000
102,0.182000,0.013667,0.028000
104,0.184667,0.014333,0.084000
106,0.193667,0.015000,0.349000
108,0.191333,0.015333,1.548000
110,0.201333,0.016333,5.926000
112,0.215667,0.016000,24.379000
114,0.265333,0.017333,100.985000
116,0.240333,0.017667,414.894000
118,0.226667,0.017667,1733.999000
120,0.210667,0.017333,7207.269000
122,0.243333,0.025333,29870.094000
124,0.235000,0.017667,TIMEOUT
126,0.237000,0.018333,TIMEOUT
128,0.249000,0.019333,0.000000
130,0.244333,0.019000,0.006000
132,0.270667,0.020000,0.010000
134,0.242333,0.019667,0.033000
136,0.242333,0.019333,0.107000
138,0.252667,0.020667,0.421000
140,0.267000,0.020333,1.751000
142,0.266667,0.023333,7.453000
144,0.257333,0.021333,29.673000
146,0.280333,0.024333,121.784000
148,0.263000,0.021333,507.638000
150,0.267667,0.022667,2105.356000
152,0.308000,0.025667,8878.194000
154,0.290333,0.022333,36563.678000
156,0.285667,0.022667,TIMEOUT
158,0.295000,0.022333,TIMEOUT
160,0.292333,0.023667,0.000000
162,0.349000,0.023667,0.008000
164,0.310000,0.025000,0.012000
166,0.331333,0.027000,0.037000
168,0.336333,0.025000,0.119000
170,0.298000,0.026000,0.494000
172,0.282667,0.026000,2.047000
174,0.301000,0.026000,8.582000
176,0.288333,0.027000,34.379000
178,0.293000,0.026333,141.577000
180,0.294000,0.027000,582.681000
182,0.297333,0.026333,2448.085000
184,0.299000,0.027667,10262.832000
186,0.309333,0.027333,42913.843000
188,0.318333,0.028000,TIMEOUT
190,0.372667,0.031000,TIMEOUT
192,0.327333,0.028000,0.000000
194,0.311000,0.028000,0.005000
196,0.349000,0.028667,0.014000
198,0.319000,0.029000,0.040000
200,0.375333,0.028667,0.130000
